run_id,file_name,class_value,workpiece_id,workpiece_date,workpiece_usage,workpiece_result,workpiece_location,scenario_condition,scenario_exception
1603638,Ch_000001603638.json,001_control-group,30000000009264,2023-07-12 14:02:53,0,OK,left,normal,0
1603639,Ch_000001603639.json,001_control-group,30000000009264,2023-07-12 14:02:57,0,OK,right,normal,0
1603642,Ch_000001603642.json,001_control-group,30000000009264,2023-07-12 14:03:30,0,OK,left,normal,0
1603643,Ch_000001603643.json,001_control-group,30000000009264,2023-07-12 14:03:34,0,OK,right,normal,0
1603646,Ch_000001603646.json,001_control-group,30000000009264,2023-07-12 14:05:51,0,OK,left,normal,0
1603647,Ch_000001603647.json,001_control-group,30000000009264,2023-07-12 14:05:56,0,OK,right,normal,0
1603650,Ch_000001603650.json,001_control-group,30000000009264,2023-07-12 14:06:43,0,OK,left,normal,0
1603651,Ch_000001603651.json,001_control-group,30000000009264,2023-07-12 14:06:47,0,OK,right,normal,0
1603654,Ch_000001603654.json,001_control-group,30000000009264,2023-07-12 14:07:55,0,OK,left,normal,0
1603655,Ch_000001603655.json,001_control-group,30000000009264,2023-07-12 14:08:00,0,OK,right,normal,0
1603658,Ch_000001603658.json,001_control-group,30000000009264,2023-07-12 14:09:20,0,OK,left,normal,0
1603659,Ch_000001603659.json,001_control-group,30000000009264,2023-07-12 14:09:24,0,OK,right,normal,0
1603662,Ch_000001603662.json,001_control-group,30000000009264,2023-07-12 14:09:56,0,OK,left,normal,0
1603663,Ch_000001603663.json,001_control-group,30000000009264,2023-07-12 14:10:00,0,OK,right,normal,0
1603666,Ch_000001603666.json,001_control-group,30000000009264,2023-07-12 14:10:35,0,OK,left,normal,0
1603667,Ch_000001603667.json,001_control-group,30000000009264,2023-07-12 14:10:40,0,OK,right,normal,0
1603670,Ch_000001603670.json,001_control-group,30000000009264,2023-07-12 14:11:11,0,OK,left,normal,0
1603671,Ch_000001603671.json,001_control-group,30000000009264,2023-07-12 14:11:15,0,OK,right,normal,0
1603674,Ch_000001603674.json,001_control-group,30000000009264,2023-07-12 14:11:46,0,NOK,left,normal,0
