run_id,file_name,class_value,workpiece_id,workpiece_date,workpiece_usage,workpiece_result,workpiece_location,scenario_condition,scenario_exception
1598840,Ch_000001598840.json,001_control-group-1,30000000008780,2023-03-20 13:21:08,0,OK,left,normal,0
1598841,Ch_000001598841.json,001_control-group-1,30000000008780,2023-03-20 13:21:13,0,OK,right,normal,0
1598842,Ch_000001598842.json,001_control-group-1,30000000008781,2023-03-20 13:22:36,0,OK,left,normal,0
1598843,Ch_000001598843.json,001_control-group-1,30000000008781,2023-03-20 13:22:40,0,OK,right,normal,0
1598844,Ch_000001598844.json,001_control-group-1,30000000008782,2023-03-20 13:24:39,0,OK,left,normal,0
1598845,Ch_000001598845.json,001_control-group-1,30000000008782,2023-03-20 13:24:44,0,OK,right,normal,0
1598846,Ch_000001598846.json,001_control-group-1,30000000008783,2023-03-20 13:26:02,0,OK,left,normal,0
1598847,Ch_000001598847.json,001_control-group-1,30000000008783,2023-03-20 13:26:06,0,OK,right,normal,0
1598848,Ch_000001598848.json,001_control-group-1,30000000008784,2023-03-20 13:26:45,0,OK,left,normal,0
1598849,Ch_000001598849.json,001_control-group-1,30000000008784,2023-03-20 13:26:50,0,OK,right,normal,0
1598850,Ch_000001598850.json,001_control-group-1,30000000008785,2023-03-20 13:28:12,0,OK,left,normal,0
1598851,Ch_000001598851.json,001_control-group-1,30000000008785,2023-03-20 13:28:16,0,OK,right,normal,0
1598852,Ch_000001598852.json,001_control-group-1,30000000008786,2023-03-20 13:29:22,0,OK,left,normal,0
1598853,Ch_000001598853.json,001_control-group-1,30000000008786,2023-03-20 13:29:26,0,OK,right,normal,0
1598854,Ch_000001598854.json,001_control-group-1,30000000008787,2023-03-20 13:30:27,0,OK,left,normal,0
1598855,Ch_000001598855.json,001_control-group-1,30000000008787,2023-03-20 13:30:31,0,OK,right,normal,0
1598856,Ch_000001598856.json,001_control-group-1,30000000008788,2023-03-20 13:31:25,0,OK,left,normal,0
1598857,Ch_000001598857.json,001_control-group-1,30000000008788,2023-03-20 13:31:29,0,OK,right,normal,0
1598858,Ch_000001598858.json,001_control-group-1,30000000008789,2023-03-20 13:32:14,0,OK,left,normal,0
1598859,Ch_000001598859.json,001_control-group-1,30000000008789,2023-03-20 13:32:19,0,OK,right,normal,0
1598860,Ch_000001598860.json,001_control-group-1,30000000008790,2023-03-20 13:32:58,0,OK,left,normal,0
1598861,Ch_000001598861.json,001_control-group-1,30000000008790,2023-03-20 13:33:02,0,OK,right,normal,0
1598862,Ch_000001598862.json,001_control-group-1,30000000008791,2023-03-20 13:33:51,0,OK,left,normal,0
1598863,Ch_000001598863.json,001_control-group-1,30000000008791,2023-03-20 13:33:56,0,OK,right,normal,0
1598864,Ch_000001598864.json,001_control-group-1,30000000008792,2023-03-20 13:34:51,0,OK,left,normal,0
1598865,Ch_000001598865.json,001_control-group-1,30000000008792,2023-03-20 13:34:55,0,OK,right,normal,0
1598866,Ch_000001598866.json,001_control-group-1,30000000008793,2023-03-20 13:35:43,0,OK,left,normal,0
1598867,Ch_000001598867.json,001_control-group-1,30000000008793,2023-03-20 13:35:48,0,OK,right,normal,0
1598868,Ch_000001598868.json,001_control-group-1,30000000008794,2023-03-20 13:36:19,0,OK,left,normal,0
1598869,Ch_000001598869.json,001_control-group-1,30000000008794,2023-03-20 13:36:23,0,OK,right,normal,0
1598870,Ch_000001598870.json,001_control-group-1,30000000008795,2023-03-20 13:36:54,0,OK,left,normal,0
1598871,Ch_000001598871.json,001_control-group-1,30000000008795,2023-03-20 13:36:58,0,OK,right,normal,0
1598872,Ch_000001598872.json,001_control-group-1,30000000008796,2023-03-20 13:37:28,0,OK,left,normal,0
1598873,Ch_000001598873.json,001_control-group-1,30000000008796,2023-03-20 13:37:32,0,OK,right,normal,0
1598874,Ch_000001598874.json,001_control-group-1,30000000008797,2023-03-20 13:38:06,0,OK,left,normal,0
1598875,Ch_000001598875.json,001_control-group-1,30000000008797,2023-03-20 13:38:10,0,OK,right,normal,0
1598876,Ch_000001598876.json,001_control-group-1,30000000008798,2023-03-20 13:38:45,0,OK,left,normal,0
1598877,Ch_000001598877.json,001_control-group-1,30000000008798,2023-03-20 13:38:50,0,OK,right,normal,0
1598878,Ch_000001598878.json,001_control-group-1,30000000008799,2023-03-20 13:39:48,0,OK,left,normal,0
1598879,Ch_000001598879.json,001_control-group-1,30000000008799,2023-03-20 13:39:53,0,OK,right,normal,0
1598880,Ch_000001598880.json,001_control-group-1,30000000008800,2023-03-20 13:40:22,0,OK,left,normal,0
1598881,Ch_000001598881.json,001_control-group-1,30000000008800,2023-03-20 13:40:26,0,OK,right,normal,0
1598882,Ch_000001598882.json,001_control-group-1,30000000008801,2023-03-20 13:40:55,0,OK,left,normal,0
1598883,Ch_000001598883.json,001_control-group-1,30000000008801,2023-03-20 13:40:59,0,OK,right,normal,0
1598884,Ch_000001598884.json,001_control-group-1,30000000008802,2023-03-20 13:41:28,0,OK,left,normal,0
1598885,Ch_000001598885.json,001_control-group-1,30000000008802,2023-03-20 13:41:32,0,OK,right,normal,0
1598886,Ch_000001598886.json,001_control-group-1,30000000008803,2023-03-20 13:42:02,0,OK,left,normal,0
1598887,Ch_000001598887.json,001_control-group-1,30000000008803,2023-03-20 13:42:06,0,OK,right,normal,0
1598888,Ch_000001598888.json,001_control-group-1,30000000008804,2023-03-20 13:42:35,0,OK,left,normal,0
1598889,Ch_000001598889.json,001_control-group-1,30000000008804,2023-03-20 13:42:39,0,OK,right,normal,0
1598890,Ch_000001598890.json,001_control-group-1,30000000008805,2023-03-20 13:44:54,0,OK,left,normal,0
1598891,Ch_000001598891.json,001_control-group-1,30000000008805,2023-03-20 13:44:58,0,OK,right,normal,0
1598892,Ch_000001598892.json,001_control-group-1,30000000008806,2023-03-20 13:46:08,0,OK,left,normal,0
1598893,Ch_000001598893.json,001_control-group-1,30000000008806,2023-03-20 13:46:12,0,OK,right,normal,0
1598894,Ch_000001598894.json,001_control-group-1,30000000008807,2023-03-20 13:46:50,0,OK,left,normal,0
1598895,Ch_000001598895.json,001_control-group-1,30000000008807,2023-03-20 13:46:54,0,OK,right,normal,0
1598896,Ch_000001598896.json,001_control-group-1,30000000008808,2023-03-20 13:47:46,0,OK,left,normal,0
1598897,Ch_000001598897.json,001_control-group-1,30000000008808,2023-03-20 13:47:50,0,OK,right,normal,0
1598898,Ch_000001598898.json,001_control-group-1,30000000008809,2023-03-20 13:48:37,0,OK,left,normal,0
1598899,Ch_000001598899.json,001_control-group-1,30000000008809,2023-03-20 13:48:41,0,OK,right,normal,0
1598900,Ch_000001598900.json,001_control-group-1,30000000008810,2023-03-20 13:49:30,0,OK,left,normal,0
1598901,Ch_000001598901.json,001_control-group-1,30000000008810,2023-03-20 13:49:34,0,OK,right,normal,0
1598902,Ch_000001598902.json,001_control-group-1,30000000008811,2023-03-20 13:50:15,0,OK,left,normal,0
1598903,Ch_000001598903.json,001_control-group-1,30000000008811,2023-03-20 13:50:19,0,OK,right,normal,0
1598904,Ch_000001598904.json,001_control-group-1,30000000008812,2023-03-20 13:51:04,0,OK,left,normal,0
1598905,Ch_000001598905.json,001_control-group-1,30000000008812,2023-03-20 13:51:08,0,OK,right,normal,0
1598906,Ch_000001598906.json,001_control-group-1,30000000008813,2023-03-20 13:51:59,0,OK,left,normal,0
1598907,Ch_000001598907.json,001_control-group-1,30000000008813,2023-03-20 13:52:03,0,OK,right,normal,0
1598908,Ch_000001598908.json,001_control-group-1,30000000008814,2023-03-20 13:52:38,0,OK,left,normal,0
1598909,Ch_000001598909.json,001_control-group-1,30000000008814,2023-03-20 13:52:42,0,OK,right,normal,0
1598910,Ch_000001598910.json,001_control-group-1,30000000008815,2023-03-20 13:53:20,0,OK,left,normal,0
1598911,Ch_000001598911.json,001_control-group-1,30000000008815,2023-03-20 13:53:25,0,OK,right,normal,0
1598912,Ch_000001598912.json,001_control-group-1,30000000008816,2023-03-20 13:54:16,0,OK,left,normal,0
1598913,Ch_000001598913.json,001_control-group-1,30000000008816,2023-03-20 13:54:20,0,OK,right,normal,0
1598914,Ch_000001598914.json,001_control-group-1,30000000008817,2023-03-20 13:55:16,0,OK,left,normal,0
1598915,Ch_000001598915.json,001_control-group-1,30000000008817,2023-03-20 13:55:21,0,OK,right,normal,0
1598916,Ch_000001598916.json,001_control-group-1,30000000008818,2023-03-20 13:56:02,0,OK,left,normal,0
1598917,Ch_000001598917.json,001_control-group-1,30000000008818,2023-03-20 13:56:06,0,OK,right,normal,0
1598918,Ch_000001598918.json,001_control-group-1,30000000008819,2023-03-20 13:56:45,0,OK,left,normal,0
1598919,Ch_000001598919.json,001_control-group-1,30000000008819,2023-03-20 13:56:49,0,OK,right,normal,0
1598920,Ch_000001598920.json,001_control-group-1,30000000008820,2023-03-20 13:57:31,0,OK,left,normal,0
1598921,Ch_000001598921.json,001_control-group-1,30000000008820,2023-03-20 13:57:35,0,OK,right,normal,0
1598922,Ch_000001598922.json,001_control-group-1,30000000008821,2023-03-20 13:58:16,0,OK,left,normal,0
1598923,Ch_000001598923.json,001_control-group-1,30000000008821,2023-03-20 13:58:20,0,OK,right,normal,0
1598924,Ch_000001598924.json,001_control-group-1,30000000008822,2023-03-20 13:59:03,0,OK,left,normal,0
1598925,Ch_000001598925.json,001_control-group-1,30000000008822,2023-03-20 13:59:07,0,OK,right,normal,0
1598926,Ch_000001598926.json,001_control-group-1,30000000008823,2023-03-20 13:59:45,0,OK,left,normal,0
1598927,Ch_000001598927.json,001_control-group-1,30000000008823,2023-03-20 13:59:50,0,OK,right,normal,0
1598928,Ch_000001598928.json,001_control-group-1,30000000008824,2023-03-20 14:00:19,0,OK,left,normal,0
1598929,Ch_000001598929.json,001_control-group-1,30000000008824,2023-03-20 14:00:23,0,OK,right,normal,0
1598930,Ch_000001598930.json,001_control-group-1,30000000008825,2023-03-20 14:00:58,0,OK,left,normal,0
1598931,Ch_000001598931.json,001_control-group-1,30000000008825,2023-03-20 14:01:03,0,OK,right,normal,0
1598932,Ch_000001598932.json,001_control-group-1,30000000008826,2023-03-20 14:01:37,0,OK,left,normal,0
1598933,Ch_000001598933.json,001_control-group-1,30000000008826,2023-03-20 14:01:41,0,OK,right,normal,0
1598934,Ch_000001598934.json,001_control-group-1,30000000008827,2023-03-20 14:02:16,0,OK,left,normal,0
1598935,Ch_000001598935.json,001_control-group-1,30000000008827,2023-03-20 14:02:20,0,OK,right,normal,0
1598936,Ch_000001598936.json,001_control-group-1,30000000008828,2023-03-20 14:03:48,0,OK,left,normal,0
1598937,Ch_000001598937.json,001_control-group-1,30000000008828,2023-03-20 14:03:53,0,OK,right,normal,0
1598938,Ch_000001598938.json,001_control-group-1,30000000008829,2023-03-20 14:04:42,0,OK,left,normal,0
