run_id,file_name,class_value,workpiece_id,workpiece_date,workpiece_usage,workpiece_result,workpiece_location,scenario_condition,scenario_exception
1624637,Ch_000001624637.json,001_reference_01,40000000004900,2024-11-07 09:11:55,0,OK,left,normal,0
1624638,Ch_000001624638.json,001_reference_01,40000000004900,2024-11-07 09:12:00,0,OK,right,normal,0
1624639,Ch_000001624639.json,001_reference_01,40000000004901,2024-11-07 09:12:45,0,OK,left,normal,0
1624640,Ch_000001624640.json,001_reference_01,40000000004901,2024-11-07 09:12:51,0,OK,right,normal,0
1624641,Ch_000001624641.json,001_reference_01,40000000004902,2024-11-07 09:14:41,0,OK,left,normal,0
1624642,Ch_000001624642.json,001_reference_01,40000000004902,2024-11-07 09:14:46,0,OK,right,normal,0
1624643,Ch_000001624643.json,001_reference_01,40000000004903,2024-11-07 09:15:13,0,OK,left,normal,0
1624644,Ch_000001624644.json,001_reference_01,40000000004903,2024-11-07 09:15:18,0,OK,right,normal,0
1624645,Ch_000001624645.json,001_reference_01,40000000004904,2024-11-07 09:15:52,0,OK,left,normal,0
1624646,Ch_000001624646.json,001_reference_01,40000000004904,2024-11-07 09:15:58,0,OK,right,normal,0
1624647,Ch_000001624647.json,001_reference_01,40000000004905,2024-11-07 09:16:27,0,OK,left,normal,0
1624648,Ch_000001624648.json,001_reference_01,40000000004905,2024-11-07 09:16:32,0,OK,right,normal,0
1624649,Ch_000001624649.json,001_reference_01,40000000004906,2024-11-07 09:16:59,0,OK,left,normal,0
1624650,Ch_000001624650.json,001_reference_01,40000000004906,2024-11-07 09:17:04,0,OK,right,normal,0
1624651,Ch_000001624651.json,001_reference_01,40000000004907,2024-11-07 09:17:44,0,OK,left,normal,0
1624652,Ch_000001624652.json,001_reference_01,40000000004907,2024-11-07 09:17:50,0,OK,right,normal,0
1624653,Ch_000001624653.json,001_reference_01,40000000004908,2024-11-07 09:18:19,0,OK,left,normal,0
1624654,Ch_000001624654.json,001_reference_01,40000000004908,2024-11-07 09:18:24,0,OK,right,normal,0
1624655,Ch_000001624655.json,001_reference_01,40000000004909,2024-11-07 09:18:50,0,OK,left,normal,0
1624656,Ch_000001624656.json,001_reference_01,40000000004909,2024-11-07 09:18:55,0,OK,right,normal,0
1624657,Ch_000001624657.json,001_reference_01,40000000004910,2024-11-07 09:19:23,0,OK,left,normal,0
1624658,Ch_000001624658.json,001_reference_01,40000000004910,2024-11-07 09:19:28,0,OK,right,normal,0
1624659,Ch_000001624659.json,001_reference_01,40000000004911,2024-11-07 09:20:08,0,OK,left,normal,0
1624660,Ch_000001624660.json,001_reference_01,40000000004911,2024-11-07 09:20:13,0,OK,right,normal,0
