,file_name,class_value,workpiece_location,scenario_condition,scenario_exception
0,Ch_000001624346.json,001_control-group,left,normal,0
1,Ch_000001624347.json,001_control-group,right,normal,0
2,Ch_000001624348.json,001_control-group,left,normal,0
3,Ch_000001624349.json,001_control-group,right,normal,0
4,Ch_000001624350.json,001_control-group,left,normal,0
5,Ch_000001624351.json,001_control-group,right,normal,0
6,Ch_000001624352.json,001_control-group,left,faulty,0
7,Ch_000001624353.json,001_control-group,right,faulty,0
8,Ch_000001624354.json,001_control-group,left,normal,0
9,Ch_000001624355.json,001_control-group,right,normal,0
10,Ch_000001624356.json,001_control-group,left,faulty,0
11,Ch_000001624357.json,001_control-group,right,faulty,0
12,Ch_000001624358.json,001_control-group,left,normal,0
13,Ch_000001624359.json,001_control-group,right,normal,0
14,Ch_000001624360.json,001_control-group,left,faulty,0
15,Ch_000001624361.json,001_control-group,right,faulty,0
16,Ch_000001624362.json,001_control-group,left,faulty,0
17,Ch_000001624363.json,001_control-group,right,faulty,0
18,Ch_000001624364.json,001_control-group,left,faulty,0
19,Ch_000001624365.json,001_control-group,right,faulty,0
20,Ch_000001624366.json,001_control-group,left,normal,0
21,Ch_000001624367.json,001_control-group,right,normal,0
22,Ch_000001624368.json,001_control-group,left,normal,0
23,Ch_000001624369.json,001_control-group,right,normal,0
24,Ch_000001624370.json,001_control-group,left,normal,0
25,Ch_000001624371.json,001_control-group,right,normal,0
26,Ch_000001624372.json,001_control-group,left,normal,0
27,Ch_000001624373.json,001_control-group,right,normal,0
28,Ch_000001624374.json,001_control-group,left,normal,0
29,Ch_000001624375.json,001_control-group,right,normal,0
30,Ch_000001624376.json,001_control-group,left,faulty,0
31,Ch_000001624377.json,001_control-group,right,faulty,0
32,Ch_000001624378.json,001_control-group,left,faulty,0
33,Ch_000001624379.json,001_control-group,right,faulty,0
34,Ch_000001624380.json,001_control-group,left,faulty,0
35,Ch_000001624381.json,001_control-group,right,faulty,0
36,Ch_000001624382.json,001_control-group,left,faulty,0
37,Ch_000001624383.json,001_control-group,right,faulty,0
38,Ch_000001624384.json,001_control-group,left,faulty,0
39,Ch_000001624385.json,001_control-group,right,faulty,0
40,Ch_000001624390.json,001_control-group,left,normal,0
41,Ch_000001624391.json,001_control-group,right,normal,0
42,Ch_000001624392.json,001_control-group,left,normal,0
